epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3270.16,1.20163,2.80733,1.3691,0.32566,0.48073,0.37566,0.27671,0.85566,7.56568,1.08088,0.00142704,0.000475681,0.00142704,0.000475681,0.00142704,0.000475681,0.00142704,0.000475681
2,6190.09,1.11095,1.79381,1.28575,0.76078,0.69645,0.75637,0.56135,0.82787,7.62796,1.04996,0.00279949,0.000933164,0.00279949,0.000933164,0.00279949,0.000933164,0.00279949,0.000933164
3,27516.9,1.06873,1.44442,1.24427,0.79875,0.7638,0.82816,0.61184,0.82191,7.14413,1.04157,0.00411535,0.00137178,0.00411535,0.00137178,0.00411535,0.00137178,0.00411535,0.00137178
4,29591.3,1.0636,1.28003,1.22841,0.774,0.7852,0.83311,0.60595,0.83104,9.68055,1.04811,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,31531.4,1.01855,1.14062,1.20839,0.75171,0.79729,0.76309,0.54894,0.82219,9.29283,1.0442,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,35170.6,1.02063,1.11434,1.20239,0.83688,0.78806,0.84453,0.62331,0.79824,8.2106,1.02323,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,37088.2,1.01471,0.98735,1.18967,0.75551,0.77507,0.81685,0.58488,0.80042,8.77681,1.02173,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,38172,0.98663,0.93866,1.18403,0.83793,0.77394,0.83322,0.61025,0.79806,6.11133,1.01933,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,69179.3,0.979,0.90122,1.18,0.79805,0.79894,0.81565,0.58607,0.80378,6.53823,1.02749,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,70202,0.96801,0.85159,1.16856,0.79456,0.82379,0.79924,0.58105,0.79881,8.9245,1.01733,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,71218.6,0.97485,0.82299,1.17391,0.80111,0.82025,0.82925,0.60627,0.79053,7.25505,1.01063,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,72376.6,0.96792,0.80403,1.16278,0.78416,0.82481,0.81827,0.59751,0.79147,6.46959,1.01474,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,73584.1,0.94967,0.78081,1.16116,0.79191,0.818,0.82225,0.59712,0.79983,5.87425,1.02049,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,74660.1,0.94787,0.74797,1.15861,0.84115,0.79143,0.84778,0.62565,0.77601,5.44427,1.01408,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,75696,0.93218,0.73163,1.1505,0.81532,0.79269,0.82651,0.61406,0.78522,6.63343,1.0191,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,76751.5,0.94327,0.74012,1.15561,0.85359,0.81863,0.86144,0.63146,0.7911,5.08243,1.01767,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,77790.5,0.92597,0.69419,1.14628,0.78024,0.81667,0.81585,0.59796,0.77789,7.70542,1.01529,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,78826.1,0.91833,0.67733,1.14028,0.82011,0.77943,0.84853,0.62025,0.7839,6.68949,1.01231,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,80058.2,0.9155,0.67511,1.13725,0.83467,0.83067,0.86337,0.63632,0.78406,6.05014,1.01036,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,81254.8,0.90335,0.64867,1.12961,0.85615,0.81961,0.86823,0.64773,0.77031,5.48012,1.00458,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,82591.6,0.91146,0.65512,1.14139,0.82451,0.80796,0.84881,0.63436,0.75531,7.24973,0.99131,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,83752.1,0.91299,0.64793,1.1341,0.85762,0.81906,0.87977,0.66173,0.75814,5.14457,0.99095,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,84786.2,0.89874,0.6253,1.12754,0.85316,0.83461,0.88492,0.6646,0.76303,3.69345,0.99746,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,85991.4,0.88407,0.62605,1.11898,0.83294,0.82976,0.86269,0.64153,0.76509,5.60777,1.00533,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,87635.1,0.88003,0.61291,1.11955,0.81697,0.80286,0.86145,0.64696,0.75361,4.94999,0.98751,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,89307.9,0.86853,0.59645,1.11371,0.85557,0.83645,0.86814,0.65321,0.75992,4.3054,0.99252,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,92570.8,0.88477,0.60052,1.11974,0.8567,0.83761,0.8817,0.66785,0.76242,4.186,0.98963,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,95081.3,0.86389,0.58807,1.11195,0.81207,0.83875,0.86767,0.65423,0.76079,5.72748,0.99637,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,96465.7,0.85214,0.57193,1.10626,0.85768,0.82214,0.85146,0.63711,0.75063,4.59456,0.98936,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,97636.1,0.85173,0.57182,1.1085,0.82783,0.86211,0.86341,0.64496,0.75793,5.05521,0.99212,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,98792.8,0.84348,0.55275,1.10333,0.8427,0.82101,0.87541,0.65679,0.76082,4.82893,0.99865,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,99963,0.85429,0.55681,1.10274,0.89083,0.83233,0.90381,0.68377,0.75934,3.71729,0.99663,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,102574,0.84182,0.54655,1.09464,0.83057,0.83779,0.86942,0.64996,0.75384,4.46711,0.99501,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,105495,0.85159,0.55613,1.10639,0.82674,0.85978,0.88196,0.67093,0.75949,4.73559,0.99085,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,107461,0.82461,0.53771,1.09455,0.86035,0.8397,0.88075,0.66456,0.75281,4.51845,0.99202,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,109230,0.84374,0.54713,1.09664,0.84463,0.85008,0.90002,0.68422,0.73667,4.42046,0.98275,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,110487,0.82706,0.5306,1.09587,0.88301,0.83967,0.90246,0.68012,0.7422,3.4867,0.98576,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,112008,0.81744,0.52656,1.08756,0.86772,0.84822,0.89295,0.67707,0.74083,3.61487,0.98378,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,113220,0.81346,0.52248,1.08773,0.85884,0.84023,0.87744,0.6719,0.73957,4.44862,0.98331,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,114621,0.80047,0.49997,1.08003,0.87285,0.84807,0.90476,0.68832,0.74324,3.5991,0.9808,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,116140,0.72413,0.40931,1.0477,0.85224,0.86185,0.90343,0.68429,0.74615,4.02439,0.98508,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,117343,0.69594,0.40193,1.03386,0.86344,0.85539,0.89504,0.67695,0.74272,3.87445,0.98466,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,118720,0.69681,0.39399,1.04837,0.89327,0.83992,0.90169,0.68554,0.74235,3.65076,0.98217,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,120442,0.68975,0.38761,1.02935,0.87455,0.83026,0.88092,0.66873,0.73926,4.05211,0.9844,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
45,121488,0.6818,0.37403,1.02837,0.86917,0.84768,0.89546,0.67987,0.74035,3.79337,0.98646,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
46,122551,0.67925,0.36954,1.02411,0.88906,0.84907,0.8965,0.68322,0.74267,3.22111,0.98367,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
47,123592,0.67609,0.36947,1.02053,0.88762,0.84767,0.90263,0.68587,0.7386,3.36457,0.98186,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
48,124655,0.67361,0.36512,1.02262,0.87954,0.84954,0.89407,0.67949,0.73709,3.64459,0.98219,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
49,125780,0.66771,0.3578,1.01739,0.8671,0.85485,0.89374,0.68118,0.73731,3.90575,0.98159,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
50,126963,0.66346,0.35742,1.0175,0.86952,0.85512,0.89538,0.68129,0.74008,3.61797,0.98312,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
